centil,renta
86,28528.893010175005
87,29212.012068301825
88,30000.525110290127
89,30916.02605182488
90,31835.957145723856
91,32889.68107013692
92,34274.07394632924
93,35661.1407655885
94,37490.58037817418
95,39483.63459629764
96,41598.87745673434
97,45196.41758631737
98,50970.95981087068
99,59680.369710899125
100,95957.85029158911
1,0.7153231742067119
2,2.1943170709416853
3,3.7044639088738345
4,644.4250212817882
5,998.2674048450654
6,1001.1064594354026
7,1101.0717649281196
8,1996.8798367472743
9,2000.0614231265097
10,2003.282992422552
11,2967.260685900229
12,2999.826452701036
13,3003.0773929687443
14,3950.2360606900593
15,3999.716581222004
16,4002.894019344727
17,4852.28017586679
18,4998.787691115562
19,5001.515357647424
20,5288.606889134847
21,5997.393011711775
22,6000.315686901755
23,6003.180418661365
24,6890.397814060242
25,6998.888619072397
26,7001.739513101491
27,7379.757998938129
28,7997.333366307439
29,8000.048558035564
30,8002.757894562304
31,8656.486727054753
32,8998.150940732068
33,9000.788949699365
34,9003.438239969646
35,9902.345180975262
36,9998.639630369024
37,10001.191644181268
38,10021.35987813106
39,10996.293687117495
40,10998.769982182768
41,11001.23895867566
42,11024.710829119971
43,11996.27684498824
44,11998.689068293766
45,12001.025366824912
46,12003.392420779504
47,12822.924536569812
48,12998.08276173195
49,13000.485535769203
50,13002.917400487018
51,13635.764617162107
52,13997.734074407592
53,14000.18594904164
54,14002.620251122493
55,14541.165049420764
56,14997.459628613717
57,14999.83622475089
58,15002.23537439196
59,15375.403360059066
60,15997.075448594149
61,15999.514033225823
62,16001.938582849138
63,16211.090877430495
64,16996.762624093146
65,16999.268310778167
66,17001.73188569097
67,17183.31656124584
68,17996.92045960846
69,17999.73611753283
70,18002.412675346146
71,18552.064155690103
72,18998.4801324203
73,19001.79422206977
74,19527.865874270665
75,19998.95796209693
76,20002.78100501987
77,20905.211204606552
78,21001.27110201197
79,21638.961078482436
80,22000.61474657417
81,22622.459310953865
82,23001.448515507334
83,23880.26443128737
84,24216.90992764141
85,24999.858201159743
86,25751.541753035723
87,26326.451540365582
88,27029.3491079328
89,27998.989709352387
90,28717.564240660475
91,29583.5726608081
92,30545.688580432718
93,31701.93922959269
94,33312.29606769588
95,34889.32538032711
96,36856.15717453295
97,39168.41349100613
98,42374.8246992025
99,49427.65942266904
100,81374.20330151015
1,0.6422648543597839
2,1.929730725023514
3,3.168249467262623
4,38.5458320924222
5,996.284518221918
6,998.6320548457664
7,1000.929788867864
8,1003.2201233945408
9,1735.6268019016115
10,1998.421082450852
11,2001.010397828428
12,2003.6263913536409
13,2974.416762404328
14,2999.042534747857
15,3001.7777608774063
16,3315.982689863403
17,3997.273256673324
18,4000.065755262605
19,4002.718659646898
20,4656.904397046205
21,4997.871809886675
22,5000.356451975427
23,5002.915194503216
24,5677.409665155812
25,5998.158659815523
26,6000.828901767555
27,6003.465204661399
28,6923.4399236160325
29,6998.656210837004
30,7001.245849830071
31,7090.423372284717
32,7996.401285606492
33,7998.815075918596
34,8001.289186637657
35,8003.7132829140255
36,8967.637351617268
37,8998.537132848021
38,9000.976086732591
39,9003.40224839351
40,9834.668604574435
41,9998.171566083398
42,10000.504369186869
43,10002.927254306844
44,10647.240036705232
45,10997.65779159776
46,10999.984237315355
47,11002.382672457508
48,11416.752062242806
49,11997.066184497136
50,11999.38814599788
51,12001.73131174034
52,12069.040080823172
53,12996.277785036898
54,12998.59621229579
55,13001.035199806987
56,13003.40850936386
57,13818.404520621794
58,13998.18985473957
59,14000.634238858169
60,14002.963692576885
61,14652.854419730416
62,14997.80504664219
63,15000.23324401924
64,15002.68604256135
65,15563.519230502
66,15997.601118597442
67,16000.07273603785
68,16002.585462311916
69,16528.63597029073
70,16997.647734487084
71,17000.235026810675
72,17002.772236488458
73,17609.124751764815
74,17998.311701628
75,18001.362708748456
76,18300.608456315505
77,18997.934710295976
78,19001.57472820579
